Brand,Address,lat,lon
Gong Cha,"Funan Mall, 109 North Bridge Road, #02-01, S(179097)",1.29133,103.850074
Gong Cha,"Hougang Mall, 90 Hougang Ave 10, #B1-14/15, S(538766)",1.3725692,103.893727
Gong Cha,"Mapletree Business City, 10 Pasir Panjang Road, #02-32, S(117438)",1.2746972,103.799261
Gong Cha,"Marina Square, 6 Raffles Boulevard, #03-212, S(039594)",1.2909245,103.857801
Gong Cha,"Northpoint, 930 Yishun Avenue 2, #01-06, S(769098)",1.4293609,103.836403
Gong Cha,"NUS Science Canteen Frontier 12 Science Drive 2,  S(117549)",1.2966888,103.780522
Gong Cha,"NUS UTown Fine Food @ NUS UTown, 1 Create Way, #01-04, S(138602)",1.3034815,103.774479
Gong Cha,"Pasir Ris MRT, 10 Pasir Ris Central, #01-14, S(519634)",1.3731143,103.949341
Gong Cha,"Plaza Singapura, 68 Orchard Road, #B1-K7, S(238839)",1.3001362,103.845106
Gong Cha,"Simei MRT, 30 Simei Street 3, #01-04, S(529888)",1.3431616,103.953353
Gong Cha,"Singapore University of Technology & Design, 8 Somapah Road, #01-302, S(487372)",1.341258,103.963759
Gong Cha,"Singapore Post Centre, 10 Eunos Road 8, #01-141A/141B, S(408600)",1.3183895,103.893714
Gong Cha,"SMU Lee Kong Chian Of Business, 50 Stamford Road, #01-01, S(178899)",1.295279,103.850554
Gong Cha,"Takashimaya Department Store, 391A Orchard Road, #B2-08-7, S(238873)",1.3025572,103.834568
Gong Cha,"Tampines MRT, 20 Tampines Central 1, S(529538)",1.3535537,103.944945
Gong Cha,"Tan Tock Seng Hospital, 16 Jalan Tan Tock Seng, #B1-03, S(308442)",1.3213889,103.845833
Gong Cha,"Blk 190 Lorong 6 Toa Payoh, #01-546, S(310190)",1.3329225,103.84841
Gong Cha,"Westgate, 3 Gateway Drive, #02-27, S(608532)",1.334533,103.742798
Gong Cha,"Woodlands MRT, 30 Woodlands Avenue 2, #01-40, S(738343)",1.4369416,103.786395
LiHo,"City Square Mall, 180 Kitchener Road, #B2-K3/K4, S(208539)",1.3111877,103.856668
LiHo,"Tanjong Pagar MRT, 120 Maxwell Road, #B1-08, S(069119)",1.2763419,103.846792
LiHo,"100 AM, 100 Tras Street, #02-25, S(079027)",1.2750063,103.843566
LiHo,"Alexandra Retail Centre, 460 Alexandra Road, #01-10, S(119963)",1.2737727,103.801465
LiHo,"West Coast Plaza, 154 West Coast Road, #B1-54, S(127371)",1.3037295,103.765864
LiHo,"Anchorpoint Shopping Centre, 370 Alexandra Road, #B1-47, S(159953)",1.2889197,103.805121
LiHo,"Raffles City Shopping Centre, 252 North Bridge Road, #B1-71,  S(179103)",1.2937585,103.853433
LiHo,"Burlington Square, 175 Bencoolen Street, #01-53, S(189649)",1.302732,103.852326
LiHo,"Far East Plaza, 14 Scotts Road, #01-16F,  S(228213)",1.307345,103.833527
LiHo,"Great World City, 1 Kim Seng Promenade, #B1-K1, S(237994)",1.2936417,103.831929
LiHo,"Plaza Singapura, 68 Orchard Road, #B1-K7, S(238839)",1.3005317,103.845236
LiHo,"Orchard Gateway, 277 Orchard Road, #B2-13, S(238858)",1.300769,103.839082
LiHo,"Wisma Atria, 435 Orchard Road, #B1-03, S(238877)",1.3036925,103.833114
LiHo,"United Square, 101 Thomson Road, #B1-40, S(307591)",1.317325,103.843545
LiHo,"HDB Toa Payoh Central, 184 Toa Payoh Central, #01-530, (S310184)",1.332657,103.849952
LiHo,"Eunos MRT, 30 Eunos Crescent, #01-05, S(409423)",1.3197379,103.902867
LiHo,"I12 Katong, 112 East Coast Road, #B1-02A, S(428802)",1.3052002,103.905065
LiHo,"Eastpoint Mall, 3 Simei Street 6, #01-K1, S(528833)",1.3424666,103.953452
LiHo,"Tampines Mall, 4 Tampines Central 5, #B1-K5, S(529510)",1.3523139,103.94479
LiHo,"Tampines MRT, 20 Tampines Central 1, #01-24, S(529538)",1.3535537,103.944945
LiHo,"Hougang 1, 1 Hougang Street 91, #01-37, S(538692)",1.3758021,103.879431
LiHo,"Rivervale Mall, 11 Rivervale Crescent, #01-04A, S(545082)",1.391935,103.904634
LiHo,"Jubilee Square, 61 Ang Mo Kio Avenue 8, #01-14 , S(569814)",1.371664,103.847826
LiHo,"Thomson Plaza, 301 Upper Thomson Road, #01-104, S(574408)",1.3548791,103.830864
LiHo,"Junction 8, 9 Bishan Place, #02-18A, S(579837)",1.3505255,103.84859
LiHo,"Clementi Arcade, 41 Sunset Way, #01-87, S(597071)",1.323453,103.767602
LiHo,"IMM Building, 2 Jurong East Street 21, #01-K12, S(609601)",1.3353469,103.746996
LiHo,"Jurong Point, 1 Jurong West Central 2, 1#B1-09, S(648886)",1.3400353,103.706107
LiHo,"West Mall, 1 Bukit Batok Central Link, #B1-04/04A, S(658713)",1.3500335,103.749172
LiHo,"Bukit Batok MRT, 10 Bukit Batok Central, #01-02, S(659959)",1.3490579,103.749625
LiHo,"Bukit Panjang Plaza, 1 Jelebu Road, #01-21, S(677743)",1.3801103,103.764306
LiHo,"Junction 10, 1 Woodlands Road, #01-26, S(677899)",1.3804555,103.76008
LiHo,"Lot One Shoppers' Mall, 21 Choa Chu Kang Avenue 4, #B1-K30, S(689812)",1.3849103,103.744981
LiHo,"Woodlands MRT, 30 Woodlands Avenue 2, #01-16, S(738343)",1.4372567,103.787162
LiHo,"Hougang Mall, 90 Hougang Avenue 10, #02-24, S(538766)",1.3725692,103.893727
LiHo,"The Cathay,  2 Handy Road, #01-10, S(229233)",1.2993784,103.847803
LiHo,"JCube, 2 Jurong East Central 1, #03-13, S(609731)",1.3334283,103.74032
LiHo,"VivoCity, 1 Harbourfront Walk, #01-111, S(098585)",1.2634705,103.822443
LiHo,"Square 2, 10 Sinaran Drive, #01-172, S(307506)",1.3210661,103.844055
LiHo,"The Central, 6 Eu Tong Sen Street, #B1-25, S(059817)",1.2889281,103.846858
LiHo,"Ang Mo Kio Hub, 53 Ang Mo Kio Avenue 3, #02-66, S(569933)",1.36953,103.84844
LiHo,"Bedok Point, 799 New Upper Changi Road, #02-30, S(467351)",1.324511,103.929462
LiHo,"Yew Tee Point, 21 Choa Chu Kang North 6, #01-49/50, S(689578)",1.3972445,103.746793
LiHo,"Orchard Central, 181 Orchard Road, #B1-02, S(238896)",1.300769,103.839082
LiHo,"163 Bukit Merah Central Food Centre, 163 Bukit Merah Central, #01-3661, S(150165)",1.2831384,103.816749
