Brand,Address
Gong Cha,"Northpoint (NP)
930 Yishun Avenue 2
#01-06, North Wing Of Northpoint City, Singapore 769098"
Gong Cha,"NUS Science Canteen Frontier (NUSF)
12 Science Drive 2
Singapore , S117549"
Gong Cha,"NUS UTown (NUS)
Fine Food @ NUS UTown,1 Create Way
#01-04 NUS UTown , Singapore 138602"
Gong Cha,"Pasir Ris MRT (PRM)
10 Pasir Ris Central
#01-14, Pasir Ris MRT Station, Singapore 519634"
Gong Cha,"Plaza Sing (PZS)
68 Orchard Road
#B1-K7, Plaza Singapura, Singapore 238839"
Gong Cha,"Simei MRT (SMM)
30 Simei Street 3
#01-04, Simei MRT Station , Singapore 529888"
Gong Cha,"Singapore University of Technology & Design (SUTD)
8 Somapah Road
#01-302, Singapore 487372"
Gong Cha,"Singpost (SP)
10 Eunos Road 8
#01-141A/141B, Singapore Post Centre, Singapore 408600"
Gong Cha,"SMU café 2.0 (SMU)
50 Stamford Road
#01-01, Lee Kong Chian Of Business, Singapore 178899"
Gong Cha,"Takashimaya (TAKA)
391A Orchard Road
#B2 08-7, Takashimaya Department Store, Singapore 238873"
Gong Cha,"Tampines MRT (TMRT)
20 Tampines Central 1
Singapore, 529538"
Gong Cha,"Tan Tock Seng Hospital (TTSH)
16 Jalan Tan Tock Seng
#B1-03, Tan Tock Seng Hospital, Singapore 308442"
Gong Cha,"Toa Payoh (TPY)
Blk 190 Lorong 6
Toa Payoh #01-546, Singapore 310190"
Gong Cha,"Westgate (WG)
3 Gateway Drive
#02-27, Westgate, Singapore 608532"
Gong Cha,"Woodlands MRT (WLM)
30 Woodlands
Avenue 2 #01-40, Woodlands MRT Station, Singapore 738343"
LiHo,"City Square Mall #B2-K3/K4, 180 Kitchener Road, 208539	
"
LiHo,"Tanjong Pagar MRT Station (EW15) #B1-08, 120 Maxwell Road, 069119v"
LiHo,"	100 AM #02-25, 100 Tras Street, 079027"
LiHo,"Alexandra Retail Centre (ARC) #01-10, 460 Alexandra Road, 119963"
LiHo,"West Coast Plaza #B1-57, 154 West Coast Road, 127371"
LiHo,"Anchorpoint Shopping Centre #%u200EB1%u202C-47, 370 Alexandra Road, 159953"
LiHo,"Raffles City Shopping Centre #B1-71, 252 North Bridge Road, 179103"
LiHo,"Burlington Square #01-53, 175 Bencoolen Street, 189649"
LiHo,"Far East Plaza 
#01-16F, 14 Scotts Road, 228213"
LiHo,"Great World City 
#B1-K1, 1 Kim Seng Promenade, 237994"
LiHo,"Plaza Singapura
 #B1-K7, 68 Orchard Road, 238839"
LiHo,"Orchard Gateway 
#B2-13, 277 Orchard Road, 238858"
LiHo,"Wisma Atria 
#B1-03, 435 Orchard Road, 238877"
LiHo,"United Square 
#B1-40, 101 Thomson Road, 307591"
LiHo,"Goldhill Centre 
#161, 151 Thomson Road, 307606"
LiHo,"HDB Toa Payoh Central 
#01-530, 184 Toa Payoh Central, 310184"
LiHo,"Eunos MRT Station (EW7) 
#01-05, 30 Eunos Crescent, 409423"
LiHo,"112 Katong 
#B1-02A, 112 East Coast Road, 428802"
LiHo,"Eastpoint Mall (East Point) 
#01-K1, 3 Simei Street 6, 528833"
LiHo,"Tampines Mall 
#B1-K5, 4 Tampines Central 5, 529510"
LiHo,"Tampines MRT Station (EW2) 
#01-24, 20 Tampines Central 1, 529538"
LiHo,"Hougang 1 
#01-37, 1 Hougang Street 91, 538692"
LiHo,"Rivervale Mall 
#01-04A, 11 Rivervale Crescent, 545082"
LiHo,"Jubilee Square 
#01-14 , 61 Ang Mo Kio Avenue 8, 569814"
LiHo,"Thomson Plaza 
#01-104, 301 Upper Thomson Road, 574408"
LiHo,"Junction 8 Shopping Centre 
#02-18A, 9 Bishan Place, 579837"
LiHo,"Clementi Arcade 
#01-87, 41 Sunset Way, 597071"
LiHo,"IMM Building 
#01-K12, 2 Jurong East Street 21, 609601"
LiHo,"Jurong Point 
#B1-09, 1 Jurong West Central 2, 648886"
LiHo,"West Mall 
#B1-04/04A, 1 Bukit Batok Central Link, 658713"
LiHo,"Bukit Batok MRT Station (NS2) 
#01-07, 10 Bukit Batok Central, 659958"
LiHo,"Bukit Panjang Plaza 
#01-21, 1 Jelebu Road, 677743"
LiHo,"Junction 10 
#01-26, 1 Woodlands Road, 677899"
LiHo,"Lot One Shoppers' Mall 
#B1-K30, 21 Choa Chu Kang Avenue 4, 689812"
LiHo,"Woodlands MRT Station (NS9) 
#01-16, 30 Woodlands Avenue 2, 738343"
LiHo,"Hougang Mall 
#02-24, 90 Hougang Avenue 10, 538766"
LiHo,"The Cathay 
#01-10, 2 Handy Road, 229233"
LiHo,"JCube 
#02-77, 2 Jurong East Central 1, 609731"
LiHo,"VivoCity 
#01-111, 1 Harbourfront Walk, 098585"
LiHo,"Square 2 
#01-172, 10 Sinaran Drive, 307506"
LiHo,"The Central 
#B1-25, 6 Eu Tong Sen Street, 059817"
LiHo,"Ang Mo Kio Hub 
#02-66, 53 Ang Mo Kio Avenue 3, 569933"
LiHo,"Bedok Point 
#02-30, 799 New Upper Changi Road, 467351"
LiHo,"Yew Tee Point 
#01-49/50, 21 Choa Chu Kang North 6, 689578"
LiHo,"Orchard Central
 #B1-02, 181 Orchard Road, 238896"
LiHo,"163 Bukit Merah Central Food Centre 
#01-3661, 163 Bukit Merah Central, 150163"
LiHo,"Gek Poh Shopping Centre #01-328, 762 Jurong West Street 75, 640762"
LiHo,"China Square Central 
#01-56, 18 Cross Street, 048423"
LiHo,"The Shoppes at Marina Bay Sands 
#01-72, 2 Bayfront Avenue, 018972"
LiHo,"*SCAPE 
#02-10, 2 Orchard Link, 237978"
LiHo,"Greenwich V 
#01-20, 1 Seletar Road, 807011"
LiHo,"Changi City Point
 #B1-41, 5 Changi Business Park Central 1, 486038"
LiHo,"Asia Square Tower 2 
#02-08, 12 Marina View, 018961"
LiHo,"Jurong East Mall (JEM) 
#B1-30, 50 Jurong Gateway Road, 608549"
LiHo,"Paya Lebar Square 
#01-50, 60 Paya Lebar Road, 409051"
LiHo,"The Star Vista 
#01-40, 1 Vista Exchange Green, 138617"
LiHo,"Zhongshan Mall Balestier 
#01-09, 20 Ah Hood Road, 329984"
LiHo,"Bedok Mall 
#B2-K16, 311 New Upper Changi Road, 467360"
LiHo,"HDB Admiralty Place 
#01-15, 677 Woodlands Avenue 6, 730677"
LiHo,"Fairprice Hub 
#02-31 , 1 Joo Koon Circle, 629117"
LiHo,"Kinex 
#B1-K5 , 11 Tanjong Katong Road, 437157"
LiHo,"Waterway Point (Shopping Centre) 
#B2-K10, 83 Punggol Central, 828761"
LiHo,"Paragon Shopping Centre 
#B1-39/40, 290 Orchard Road, 238859"
LiHo,"Suntec City Mall 
#03-379, 3 Temasek Boulevard, 038983"
LiHo,"18 Tai Seng 
#B1-11, 18 Tai Seng Street, 539775"
LiHo,"Resorts World at Sentosa 
#01-83 , 8 Sentosa Gateway, 098269"
