Brand,Address,lat,lon
Gong Cha,"Ang Mo Kio (AMK)703 Ang Mo Kio Ave 3#01-2531, Singapore 560703",1.3696656,103.8474039
Gong Cha,"Bugis Junction (BJ)Bugis Junction#03-08, The Victoria Street , Singapore 188021",1.2990252,103.8554675
Gong Cha,"Causeway Point (CWP)Causeway Point 1 Woodlands Square#02-K10, Singapore 738099",1.4359844,103.7860127
Gong Cha,"Century Square (CSQ)2 Tampines Central 5#01-39, Century Square, Singapore 529509",1.3523596,103.9437862
Gong Cha,"Changi Hospital (CGH)6 Simei Street 3, #01-03Singapore , Singapore , 529898",1.340737,103.948089
Gong Cha,"Compass One (COM)Compass One 1#02-40/41, Sengkang Square, Singapore 545078",1.3919183,103.8947265
Gong Cha,"Eunos MRT (EUNOS)30 Eunos Crescent#01-10, Eunos MRT Station, Singapore 409423",1.3197342,103.9028883
Gong Cha,"FUNAN Centre109 North Bridge RoadSingapore , S179097",1.29133,103.850074
Gong Cha,"Hougang Mall (HGM)10 Hougang Mall, 90 Hougang Ave 10#B1-14/15, Singapore 538766",1.372474,103.893818
Gong Cha,"Mapletree Business City (MTBC)10 Pasir Panjang RoadSingapore , S 117438",1.2746972,103.7992612
Gong Cha,"Marina Square (MSQ)6 Raffles Boulevard#03-212, Singapore 039594",1.2914263,103.8574684
Gong Cha,"Northpoint (NP)930 Yishun Avenue 2#01-06, North Wing Of Northpoint City, Singapore 769098",1.4293609,103.8364028
Gong Cha,"NUS Science Canteen Frontier (NUSF)12 Science Drive 2Singapore , S117549",1.2967045,103.7804661
Gong Cha,"NUS UTown (NUS)Fine Food @ NUS UTown,1 Create Way#01-04 NUS UTown , Singapore 138602",1.3054859,103.7730596
Gong Cha,"Pasir Ris MRT (PRM)10 Pasir Ris Central#01-14, Pasir Ris MRT Station, Singapore 519634",1.3731595,103.9493323
Gong Cha,"Plaza Sing (PZS)68 Orchard Road#B1-K7, Plaza Singapura, Singapore 238839",1.3005317,103.8452356
Gong Cha,"Simei MRT (SMM)30 Simei Street 3#01-04, Simei MRT Station , Singapore 529888",1.3431616,103.9533534
Gong Cha,"Singapore University of Technology & Design (SUTD)8 Somapah Road#01-302, Singapore 487372",1.341258,103.9637585
Gong Cha,"Singpost (SP)10 Eunos Road 8#01-141A/141B, Singapore Post Centre, Singapore 408600",1.3183895,103.8937136
Gong Cha,"SMU café 2.0 (SMU)50 Stamford Road#01-01, Lee Kong Chian Of Business, Singapore 178899",1.295279,103.8505542
Gong Cha,"Takashimaya (TAKA)391A Orchard Road#B2 08-7, Takashimaya Department Store, Singapore 238873",1.3025572,103.834568
Gong Cha,"Tampines MRT (TMRT)20 Tampines Central 1Singapore, 529538",1.3535537,103.9449445
Gong Cha,"Tan Tock Seng Hospital (TTSH)16 Jalan Tan Tock Seng#B1-03, Tan Tock Seng Hospital, Singapore 308442",1.3213889,103.8458333
Gong Cha,"Toa Payoh (TPY)Blk 190 Lorong 6Toa Payoh #01-546, Singapore 310190",1.3329225,103.8484101
Gong Cha,"Westgate (WG)3 Gateway Drive#02-27, Westgate, Singapore 608532",1.334533,103.742798
Gong Cha,"Woodlands MRT (WLM)30 WoodlandsAvenue 2 #01-40, Woodlands MRT Station, Singapore 738343",1.4369384,103.7862187
LiHo,"City Square Mall #B2-K3/K4, 180 Kitchener Road, 208539	",1.3111877,103.8566675
LiHo,"Tanjong Pagar MRT Station (EW15) #B1-08, 120 Maxwell Road, 069119v",1.2763419,103.8467924
LiHo,"	100 AM #02-25, 100 Tras Street, 079027",1.2750063,103.8435656
LiHo,"Alexandra Retail Centre (ARC) #01-10, 460 Alexandra Road, 119963",1.2737727,103.8014648
LiHo,"West Coast Plaza #B1-57, 154 West Coast Road, 127371",1.3037295,103.7658637
LiHo,"Anchorpoint Shopping Centre #%u200EB1%u202C-47, 370 Alexandra Road, 159953",1.2887706,103.8050762
LiHo,"Raffles City Shopping Centre #B1-71, 252 North Bridge Road, 179103",1.2937585,103.8534331
LiHo,"Burlington Square #01-53, 175 Bencoolen Street, 189649",1.3025,103.8526
LiHo,"Far East Plaza #01-16F, 14 Scotts Road, 228213",1.307345,103.833527
LiHo,"Great World City #B1-K1, 1 Kim Seng Promenade, 237994",1.2936417,103.8319293
LiHo,"Plaza Singapura #B1-K7, 68 Orchard Road, 238839",1.3005317,103.8452356
LiHo,"Orchard Gateway #B2-13, 277 Orchard Road, 238858",1.300769,103.8390821
LiHo,"Wisma Atria #B1-03, 435 Orchard Road, 238877",1.3036925,103.8331141
LiHo,"United Square #B1-40, 101 Thomson Road, 307591",1.317325,103.8435452
LiHo,"Goldhill Centre #161, 151 Thomson Road, 307606",1.3184253,103.8432824
LiHo,"HDB Toa Payoh Central #01-530, 184 Toa Payoh Central, 310184",1.332657,103.8499518
LiHo,"Eunos MRT Station (EW7) #01-05, 30 Eunos Crescent, 409423",1.3196998,103.902894
LiHo,"112 Katong #B1-02A, 112 East Coast Road, 428802",1.3052002,103.9050645
LiHo,"Eastpoint Mall (East Point) #01-K1, 3 Simei Street 6, 528833",1.3424666,103.9534516
LiHo,"Tampines Mall #B1-K5, 4 Tampines Central 5, 529510",1.3523139,103.9447899
LiHo,"Tampines MRT Station (EW2) #01-24, 20 Tampines Central 1, 529538",1.3535537,103.9449445
LiHo,"Hougang 1 #01-37, 1 Hougang Street 91, 538692",1.3758021,103.8794307
LiHo,"Rivervale Mall #01-04A, 11 Rivervale Crescent, 545082",1.391935,103.9046341
LiHo,"Jubilee Square #01-14 , 61 Ang Mo Kio Avenue 8, 569814",1.371664,103.847826
LiHo,"Thomson Plaza #01-104, 301 Upper Thomson Road, 574408",1.3548791,103.8308643
LiHo,"Junction 8 Shopping Centre #02-18A, 9 Bishan Place, 579837",1.3505255,103.8485901
LiHo,"Clementi Arcade #01-87, 41 Sunset Way, 597071",1.323453,103.767602
LiHo,"IMM Building #01-K12, 2 Jurong East Street 21, 609601",1.3353469,103.7469958
LiHo,"Jurong Point #B1-09, 1 Jurong West Central 2, 648886",1.3400353,103.7061073
LiHo,"West Mall #B1-04/04A, 1 Bukit Batok Central Link, 658713",1.3500335,103.7491716
LiHo,"Bukit Batok MRT Station (NS2) #01-07, 10 Bukit Batok Central, 659958",1.3490579,103.7496251
LiHo,"Bukit Panjang Plaza #01-21, 1 Jelebu Road, 677743",1.3801103,103.764306
LiHo,"Junction 10 #01-26, 1 Woodlands Road, 677899",1.3804555,103.7600795
LiHo,"Lot One Shoppers' Mall #B1-K30, 21 Choa Chu Kang Avenue 4, 689812",1.3849103,103.7449808
LiHo,"Woodlands MRT Station (NS9) #01-16, 30 Woodlands Avenue 2, 738343",1.4368968,103.7865809
LiHo,"Hougang Mall #02-24, 90 Hougang Avenue 10, 538766",1.3725692,103.8937273
LiHo,"The Cathay #01-10, 2 Handy Road, 229233",1.2993784,103.8478027
LiHo,"JCube #02-77, 2 Jurong East Central 1, 609731",1.3334283,103.7403199
LiHo,"VivoCity #01-111, 1 Harbourfront Walk, 098585",1.2634705,103.8224432
LiHo,"Square 2 #01-172, 10 Sinaran Drive, 307506",1.3210661,103.844055
LiHo,"The Central #B1-25, 6 Eu Tong Sen Street, 059817",1.2889281,103.8468577
LiHo,"Ang Mo Kio Hub #02-66, 53 Ang Mo Kio Avenue 3, 569933",1.3690761,103.848162
LiHo,"Bedok Point #02-30, 799 New Upper Changi Road, 467351",1.324511,103.929462
LiHo,"Yew Tee Point #01-49/50, 21 Choa Chu Kang North 6, 689578",1.3972445,103.7467926
LiHo,"Orchard Central #B1-02, 181 Orchard Road, 238896",1.3006295,103.8398742
LiHo,"163 Bukit Merah Central Food Centre #01-3661, 163 Bukit Merah Central, 150163",1.2835258,103.8173753
LiHo,"Gek Poh Shopping Centre #01-328, 762 Jurong West Street 75, 640762",1.348642,103.6977414
LiHo,"China Square Central #01-56, 18 Cross Street, 048423",1.2844024,103.8509818
LiHo,"The Shoppes at Marina Bay Sands #01-72, 2 Bayfront Avenue, 018972",1.2838167,103.8596113
LiHo,"*SCAPE #02-10, 2 Orchard Link, 237978",1.3009437,103.8357637
LiHo,"Greenwich V #01-20, 1 Seletar Road, 807011",1.3875841,103.869409
LiHo,"Changi City Point #B1-41, 5 Changi Business Park Central 1, 486038",1.3344148,103.9624297
LiHo,"Asia Square Tower 2 #02-08, 12 Marina View, 018961",1.2784071,103.8507906
LiHo,"Jurong East Mall (JEM) #B1-30, 50 Jurong Gateway Road, 608549",1.3332835,103.7430637
LiHo,"Paya Lebar Square #01-50, 60 Paya Lebar Road, 409051",1.3181283,103.8925023
LiHo,"The Star Vista #01-40, 1 Vista Exchange Green, 138617",1.3068059,103.7884824
LiHo,"Zhongshan Mall Balestier #01-09, 20 Ah Hood Road, 329984",1.3267401,103.8465704
LiHo,"Bedok Mall #B2-K16, 311 New Upper Changi Road, 467360",1.324511,103.929462
LiHo,"HDB Admiralty Place #01-15, 677 Woodlands Avenue 6, 730677",1.4399252,103.8013857
LiHo,"Fairprice Hub #02-31 , 1 Joo Koon Circle, 629117",1.3271898,103.678719
LiHo,"Kinex #B1-K5 , 11 Tanjong Katong Road, 437157",1.3149868,103.8946433
LiHo,"Waterway Point (Shopping Centre) #B2-K10, 83 Punggol Central, 828761",1.4066475,103.9022866
LiHo,"Paragon Shopping Centre #B1-39/40, 290 Orchard Road, 238859",1.3038699,103.8357982
LiHo,"Suntec City Mall #03-379, 3 Temasek Boulevard, 038983",1.2950318,103.859752
LiHo,"18 Tai Seng #B1-11, 18 Tai Seng Street, 539775",1.3363662,103.8888307
LiHo,"Resorts World at Sentosa #01-83 , 8 Sentosa Gateway, 098269",1.255179,103.8218107
